  --------------------------------------------------------------------------
                      pulsar  PSR B1855+0
      Date   JD-2400000.5    UTC[sec]    Err[mcs]    TB[sec]      Res[mcs ]
  __________________________________________________________________________
    1)  6-Jan-86  46436  59349.73467680      .85  58982.22049710    2555.85
    2)  7-Jan-86  46437  58747.49825880      .85  58376.69091860    1138.08
    3)  9-Jan-86  46439  58541.81671430      .85  58171.13297510   -1576.35
    4) 10-Jan-86  46440  58416.67589900     1.06  58049.49025460    2549.30
    5) 18-Jan-86  46448  55398.51514380      .85  55040.80918330   -2131.41
    6) 24-Jan-86  46454  53912.57990070      .88  53571.15408440     683.17
    7) 27-Jan-86  46457  51545.57786670      .85  51218.00175678    2151.33
    8)  6-Feb-86  46467  49294.50115180     1.18  48994.12120570      56.76
    9) 24-Feb-86  46485  45482.22744470      .85  45257.34430530   -1397.00
   10) 22-Mar-86  46511  40634.94779180      .85  40569.73117620    2519.85
   11) 10-Apr-86  46530  35833.04059756     1.14  35919.89182170    -697.28
   12) 23-Apr-86  46543  30807.77517800      .85  30987.50172440   -1440.20
   13)  8-Mai-86  46558  27354.99916830     1.42  27627.43884610     752.55
   14) 24-Mai-86  46574  26442.34221810      .85  26793.22675260     964.63
   15)  9-Jun-86  46590  19267.14215150     1.98  19697.48108460    1510.52
   16) 20-Jun-86  46601  18653.72072770     1.84  19109.36432620   -2344.79
   17)  2-Jul-86  46613  14726.90549530     1.00  15199.51926520   -2150.39
   18) 14-Jul-86  46625  14411.64373710     6.06  14884.43167510   -2049.59
   19) 30-Jul-86  46641   7098.06159339     3.62   7560.61412040   -1825.73
   20) 15-Aug-86  46657   4888.99173310     2.10   5292.08322362   -1453.95
   21) 29-Aug-86  46671   1009.34078400     1.52   1337.47882190    1291.25
   22) 10-Sep-86  46683  83920.10527770     3.64  84169.13150510     -22.44
   23) 22-Sep-86  46695  82043.09950703     2.84  82213.27340580     138.58
   24) 13-Oct-86  46716  78517.86409010      .85  78552.32101700   -1050.09
   25) 10-Nov-86  46744  70352.99570820     5.04  70183.18952010    -211.61
   26) 20-Nov-86  46754  66206.74141090      .85  65989.34805590   -2622.98
   27)  1-Dec-86  46765  65576.75760190     2.10  65308.08632115   -1088.05
   28) 14-Dec-86  46778  61085.78401670      .96  60768.02511676   -1823.12
  __________________________________________________________________________
   29) 14-Jan-87  46809  55954.74667130      .85  55588.12146260     867.75
   30)  2-Feb-87  46828  49631.79553920     3.48  49319.07309192   -1920.64
   31) 15-Feb-87  46841  46108.93220690     1.60  45844.92799410   -2448.21
   32) 23-Apr-87  46908  32033.09215719     2.68  32195.33143590    2042.68
   33)  6-Mai-87  46921  27455.39853490     2.92  27706.36033470    1270.96
   34) 25-Jun-87  46971  18845.96246320     2.84  19312.75356070     -83.97
   35) 17-Jul-87  46993  10099.77099580     2.92  10568.86978850   -2445.60
   36) 31-Jul-87  47007   8379.83206500     2.48   8826.27141680     329.06
   37) 26-Aug-87  47033   1669.30513640      .85   2018.60109470   -2058.10
   38)  8-Sep-87  47046  85417.64956030      .85  85694.21820980     711.97
   39) 23-Oct-87  47091  75289.76814810     7.00  75238.00013532     -59.75
   40) 18-Nov-87  47117  68836.83278780     1.64  68618.90995510   -2071.85
  __________________________________________________________________________
   41) 10-Jan-88  47170  55516.67806980     1.84  55163.64777770   -1107.03
   42) 19-Apr-88  47270  32273.74470970     2.14  32431.68036980   -1248.42
   43)  9-Mai-88  47290  28264.55285670      .85  28538.44088540    -485.86
   44) 29-Mai-88  47310  22829.89882830      .85  23221.74081150     420.69
   45) 25-Jun-88  47337  14928.15826460     1.90  15394.19582780    2274.39
   46) 16-Jul-88  47358  10863.95032540     4.58  11352.36846970    1147.25
   47) 28-Aug-88  47401   1416.10299880     2.72   1746.58130740   -2620.36
   48)  6-Sep-88  47410  85951.76184970     1.84  86226.50656130     329.06
   49) 23-Sep-88  47427  83072.91941680      .90  83241.71346640    -926.38
   50)  5-Oct-88  47439  78450.79821130      .85  78532.47596450    -745.07
   51) 20-Oct-88  47454  75623.82877150     1.82  75607.57399560     758.44
   52)  2-Nov-88  47467  72481.34319210     1.36  72376.27810730    -293.42
   53) 18-Nov-88  47483  67826.49836870     1.22  67612.71964730     465.86
   54) 29-Nov-88  47494  65732.63851510     1.04  65469.22413280    2114.68
   55) 12-Dec-88  47507  62171.73168490     1.20  61855.21933970    1346.89
   56) 27-Dec-88  47522  58442.78924710     1.52  58082.23716640   -2196.21
  __________________________________________________________________________
   57) 15-Feb-89  47572  46757.64739110      .85  46485.57094040   -2263.63
   58)  1-Mai-89  47647  29993.64973570      .85  30214.87259730   -2596.14
   59) 18-Jan-89  47544  54179.99802020     1.20  53831.58043370    1780.20
   60) 30-Jan-89  47556  50710.00607471      .62  50389.72413830    2413.15
   61)  2-Mar-89  47587  46130.00723393     1.12  45943.90355290     -70.22
   62) 18-Mai-89  47664  24635.50258110      .68  24976.92552410    2079.33
   63) 30-Mai-89  47676  21935.50863250     1.70  22335.73785000    2445.88
   64) 16-Jun-89  47693  18545.50130230      .72  18998.40339500    1744.20
   65)  5-Jul-89  47712  14435.50443910      .59  14922.29796170   -2137.96
   66) 28-Jul-89  47735   8895.49559720      .59   9353.19271430    -572.92
   67) 17-Aug-89  47755   3955.49859360     1.42   4348.61485020    -184.77
   68)  4-Sep-89  47773  84855.50433180     2.60  85154.94904730    1142.01
   69) 25-Sep-89  47794  79735.50717100      .76  79883.86563250     -81.35
   70)  7-Oct-89  47806  77095.49817590      .59  77157.88155670     103.23
   71) 20-Oct-89  47819  73955.49566760      .90  73924.47839230   -1031.76
   72)  1-Nov-89  47831  73205.50835290      .59  73090.94053200    -781.07
   73)  2-Nov-89  47832  73045.50316640     1.16  72925.78432360   -2094.10
   74)  7-Nov-89  47837  71135.49589910     1.92  71000.25791700    2074.09
   75) 13-Nov-89  47843  70165.50668200     1.06  69974.87454520    -428.92
   76) 15-Nov-89  47845  69825.50182100      .59  69626.60984220    2333.30
   77)  9-Dec-89  47869  62895.50538650      .86  62580.65592580   -2193.59
   78) 20-Dec-89  47880  60295.50519560     1.10  59947.69208340    -354.30
  __________________________________________________________________________
   79)  2-Jan-90  47893  57075.49922080      .59  56710.15514090   -1110.96
   80) 14-Jan-90  47905  54265.50248430      .84  53902.02952473    -478.01
   81)  8-Mar-90  47958  41545.50379040     1.64  41401.05141844    1222.52
   82) 16-Mar-90  47966  39935.50067170      .72  39832.92547480    1614.60
   83) 25-Mar-90  47975  37655.50181410      .72  37628.49182320     876.26
   84) 29-Mar-90  47979  36815.49859250      .72  36802.84826170     890.01
   85)  9-Mai-90  48020  27085.50663270      .96  27369.15633130    1415.61
   86) 26-Mai-90  48037  23325.49821390      .68  23704.26740680     736.19
   87)  4-Jun-90  48046  21885.50891760      .74  22307.54785200    -572.92
   88) 11-Jun-90  48053  19075.50597480     1.10  19506.00807161     946.30
   89) 31-Jul-90  48103   7935.50198140      .59   8383.22157630   -1039.62
   90) 25-Aug-90  48128   1675.50415970      .59   2025.83778510   -2180.50
   91)  9-Sep-90  48143  84695.54444060      .59  84967.67707130   -1948.14
   92)  8-Oct-90  48172  77635.50152440     1.26  77706.71191390    2569.59
   93) 22-Oct-90  48186  74365.50132580     2.04  74328.52869540     169.34
   94) 12-Nov-90  48207  73365.49682470     1.16  73201.59862540    -943.40
   95) 19-Nov-90  48214  68705.50077060      .68  68483.93375900     640.62
   96) 13-Dec-90  48238  62455.50889370     1.08  62127.99667890    1548.49
   97) 21-Dec-90  48246  60085.49862830      .59  59750.82651940    2122.53
  __________________________________________________________________________
   98)  5-Jan-91  48261  57375.50254590      .66  57012.34948770   -1246.45
   99) 17-Jan-91  48273  54295.49898200      .59  53939.79739210    -575.54
  100) 28-Jan-91  48284  51085.50334520     1.24  50757.44374500    1446.38
  101)  7-Feb-91  48294  48845.50434250      .59  48557.74644950    -913.94
  102) 15-Feb-91  48302  47485.49905710      .59  47219.48320450    -415.83
  103) 25-Feb-91  48312  44975.49967860      .59  44754.00283157   -2621.02
  104)  7-Mar-91  48322  44005.50024820     1.82  43848.46504930     835.03
  105) 23-Mar-91  48338  38085.50036350      .82  38031.39884650    1494.16
  106)  6-Apr-91  48352  35205.50722740     2.30  35258.13085270    -387.03
  107)  9-Apr-91  48355  34135.50250240      .59  34219.45997620     980.34
  108) 17-Apr-91  48363  32135.50297920      .64  32261.42361750    1381.58
  109)  1-Mai-91  48377  29905.49877480     1.72  30135.15189780    -646.23
