### HEADER
telcode: bsa1
obscode: PO
rtype: DPP1
psrname: 0809+74
period: 1.29231754581
tau: 1.2288
date: 22/3/2017
time: 20:32:4.340629
utctime: 17:32:3.3406294
frequency: 112.084
N used channels: 450
### COMPENSATED PROFILE FOR EACH IMPULSE
time	signal
0	6.994
1	7.073
2	7.350
3	6.997
4	7.126
5	6.998
6	7.209
7	7.237
8	7.128
9	7.079
10	7.102
11	7.056
12	7.209
13	7.236
14	7.048
15	7.053
16	7.017
17	7.205
18	7.186
19	7.160
20	7.033
21	7.097
22	7.190
23	7.109
24	7.179
25	7.334
26	7.054
27	7.081
28	7.190
29	7.303
30	7.239
31	7.125
32	7.156
33	7.108
34	6.996
35	7.152
36	7.034
37	7.131
38	7.232
39	6.989
40	6.992
41	7.104
42	7.027
43	7.194
44	7.046
45	7.067
46	7.176
47	7.143
48	7.164
49	7.292
50	7.032
51	7.199
52	7.098
53	7.099
54	7.119
55	7.237
56	7.178
57	7.142
58	7.080
59	7.033
60	7.217
61	7.066
62	6.931
63	7.044
64	7.234
65	7.169
66	6.988
67	7.199
68	7.227
69	7.190
70	7.215
71	7.261
72	7.066
73	7.242
74	7.112
75	7.162
76	7.141
77	7.127
78	7.113
79	7.233
80	7.140
81	7.206
82	7.149
83	7.119
84	7.252
85	7.016
86	7.074
87	7.164
88	7.038
89	7.098
90	7.197
91	7.058
92	7.111
93	7.167
94	7.211
95	7.092
96	7.191
97	7.064
98	7.200
99	7.135
100	7.167
101	7.059
102	7.160
103	7.233
104	7.048
105	6.992
106	7.157
107	7.056
108	7.181
109	7.052
110	7.049
111	7.273
112	7.046
113	7.093
114	7.088
115	7.220
116	7.376
117	7.128
118	7.154
119	7.080
120	7.084
121	7.057
122	7.108
123	7.164
124	7.086
125	7.154
126	7.098
127	7.139
128	7.029
129	7.104
130	7.139
131	7.109
132	7.107
133	6.978
134	7.339
135	7.336
136	7.107
137	7.090
138	7.105
139	7.156
140	7.159
141	7.144
142	7.135
143	7.179
144	7.187
145	7.124
146	7.070
147	7.261
148	7.103
149	7.079
150	7.023
151	7.120
152	7.205
153	7.094
154	7.092
155	7.092
156	7.082
157	7.147
158	6.979
159	7.000
160	6.929
161	7.193
162	7.160
163	7.070
164	7.002
165	7.006
166	7.166
167	7.021
168	7.076
169	7.214
170	7.015
171	7.053
172	6.996
173	7.125
174	7.006
175	7.239
176	7.148
177	7.019
178	7.086
179	7.044
180	7.078
181	7.183
182	7.190
183	7.194
184	7.378
185	6.967
186	7.066
187	7.163
188	7.077
189	7.218
190	7.209
191	7.231
192	7.123
193	7.030
194	7.078
195	7.161
196	7.030
197	7.098
198	7.194
199	7.240
200	7.089
201	7.173
202	7.256
203	7.052
204	7.139
205	7.294
206	7.165
207	7.103
208	7.052
209	7.035
210	7.210
211	7.232
212	7.000
